date,year,month,day,day_of_week,day_of_year,predicted_demand,model
2031-09-01,2031,9,1,0,244,68.45,Random Forest
2031-09-02,2031,9,2,1,245,67.88,Random Forest
2031-09-03,2031,9,3,2,246,63.42,Random Forest
2031-09-04,2031,9,4,3,247,71.63,Random Forest
2031-09-05,2031,9,5,4,248,66.52,Random Forest
2031-09-06,2031,9,6,5,249,76.2,Random Forest
2031-09-07,2031,9,7,6,250,70.89,Random Forest
2031-09-08,2031,9,8,0,251,51.82,Random Forest
2031-09-09,2031,9,9,1,252,64.7,Random Forest
2031-09-10,2031,9,10,2,253,68.34,Random Forest
2031-09-11,2031,9,11,3,254,64.46,Random Forest
2031-09-12,2031,9,12,4,255,62.36,Random Forest
2031-09-13,2031,9,13,5,256,52.19,Random Forest
2031-09-14,2031,9,14,6,257,53.82,Random Forest
2031-09-15,2031,9,15,0,258,66.21,Random Forest
2031-09-16,2031,9,16,1,259,64.37,Random Forest
2031-09-17,2031,9,17,2,260,65.27,Random Forest
2031-09-18,2031,9,18,3,261,61.4,Random Forest
2031-09-19,2031,9,19,4,262,68.39,Random Forest
2031-09-20,2031,9,20,5,263,62.92,Random Forest
2031-09-21,2031,9,21,6,264,62.06,Random Forest
2031-09-22,2031,9,22,0,265,66.57,Random Forest
2031-09-23,2031,9,23,1,266,67.52,Random Forest
2031-09-24,2031,9,24,2,267,75.66,Random Forest
2031-09-25,2031,9,25,3,268,60.37,Random Forest
2031-09-26,2031,9,26,4,269,64.57,Random Forest
2031-09-27,2031,9,27,5,270,58.36,Random Forest
2031-09-28,2031,9,28,6,271,58.05,Random Forest
2031-09-29,2031,9,29,0,272,64.57,Random Forest
2031-09-30,2031,9,30,1,273,63.99,Random Forest
