product_id,date,store_id,current_stock,daily_demand,lead_time_days,supplier_reliability_score,promotion_active,weather_impact,stockout_risk,lead_time_demand,safety_stock,reorder_point,target_stock,recommended_order,stock_cover_days,stockout_probability,ml_risk,status
P1000,2024-01-01,S7,213,114,5,72,No,Medium,No,570,138.3,708.3,1506.3,1293.3,1.87,31.47,Low,Critical - Reorder Now
P1001,2024-01-02,S20,152,87,7,84,No,High,Yes,609,155.03,764.03,1373.03,1221.03,1.75,62.77,Medium,Critical - Reorder Now
P1002,2024-01-03,S15,209,62,10,61,No,Low,No,620,205.03,825.03,1259.03,1050.03,3.37,35.4,Low,Critical - Reorder Now
P1003,2024-01-04,S11,400,103,10,61,No,Low,No,1030,205.03,1235.03,1956.03,1556.03,3.88,21.58,Low,Critical - Reorder Now
P1004,2024-01-05,S8,60,114,9,75,No,Medium,No,1026,183.11,1209.11,2007.11,1947.11,0.53,25.39,Low,Critical - Reorder Now
P1005,2024-01-06,S7,267,108,13,68,No,Medium,No,1404,226.92,1630.92,2386.92,2119.92,2.47,27.73,Low,Critical - Reorder Now
P1006,2024-01-07,S19,261,60,7,87,No,Medium,No,420,152.88,572.88,992.88,731.88,4.35,13.13,Low,Critical - Reorder Now
P1007,2024-01-08,S11,217,32,5,72,No,Low,Yes,160,138.3,298.3,522.3,305.3,6.78,32.78,Low,Critical - Reorder Now
P1008,2024-01-09,S11,282,5,10,94,No,Medium,No,50,176.72,226.72,261.72,0.0,56.4,15.11,Low,Healthy
P1009,2024-01-10,S4,135,46,10,72,Yes,High,No,460,195.59,655.59,977.59,842.59,2.93,37.98,Low,Critical - Reorder Now
P1010,2024-01-11,S8,466,86,10,90,No,Low,Yes,860,180.15,1040.15,1642.15,1176.15,5.42,36.79,Low,Critical - Reorder Now
P1011,2024-01-12,S3,379,52,6,80,No,Medium,No,312,146.19,458.19,822.19,443.19,7.29,45.86,Medium,Critical - Reorder Now
P1012,2024-01-13,S2,361,44,11,91,No,High,Yes,484,188.04,672.04,980.04,619.04,8.2,70.55,High,Critical - Reorder Now
P1013,2024-01-14,S12,448,101,12,93,Yes,High,No,1212,194.52,1406.52,2113.52,1665.52,4.44,11.98,Low,Critical - Reorder Now
P1014,2024-01-15,S6,440,67,3,67,No,Medium,Yes,201,109.48,310.48,779.48,339.48,6.57,51.29,Medium,Low Stock
P1015,2024-01-16,S2,92,80,5,61,No,High,No,400,144.97,544.97,1104.97,1012.97,1.15,22.4,Low,Critical - Reorder Now
P1016,2024-01-17,S1,108,76,8,97,No,Low,No,608,155.76,763.76,1295.76,1187.76,1.42,33.51,Low,Critical - Reorder Now
P1017,2024-01-18,S12,240,92,1,91,No,Low,No,92,56.7,148.7,792.7,552.7,2.61,41.41,Medium,Low Stock
P1018,2024-01-19,S12,354,84,12,99,No,High,No,1008,188.88,1196.88,1784.88,1430.88,4.21,27.82,Low,Critical - Reorder Now
P1019,2024-01-20,S17,423,118,1,87,No,Low,No,118,57.78,175.78,1001.78,578.78,3.58,12.57,Low,Low Stock
P1020,2024-01-21,S10,141,8,7,96,No,Medium,No,56,146.42,202.42,258.42,117.42,17.62,9.1,Low,Critical - Reorder Now
P1021,2024-01-22,S16,290,42,14,60,No,High,No,588,243.6,831.6,1125.6,835.6,6.9,44.5,Medium,Critical - Reorder Now
P1022,2024-01-23,S15,431,112,5,69,Yes,Low,No,560,140.12,700.12,1484.12,1053.12,3.85,20.08,Low,Critical - Reorder Now
P1023,2024-01-24,S15,236,31,14,63,Yes,Medium,Yes,434,240.56,674.56,891.56,655.56,7.61,73.1,High,Critical - Reorder Now
P1024,2024-01-25,S19,339,13,5,94,No,Medium,No,65,124.96,189.96,280.96,0.0,26.08,11.57,Low,Overstock
P1025,2024-01-26,S12,311,115,1,69,No,Low,No,115,62.66,177.66,982.66,671.66,2.7,32.91,Low,Low Stock
P1026,2024-01-27,S20,176,20,9,70,No,High,No,180,187.18,367.18,507.18,331.18,8.8,18.42,Low,Critical - Reorder Now
P1027,2024-01-28,S3,140,60,1,73,Yes,Medium,Yes,60,61.58,121.58,541.58,401.58,2.33,71.48,High,High Risk
P1028,2024-01-29,S5,188,80,5,97,No,Medium,No,400,123.14,523.14,1083.14,895.14,2.35,25.34,Low,Critical - Reorder Now
P1029,2024-01-30,S19,485,35,10,71,No,Medium,Yes,350,196.45,546.45,791.45,306.45,13.86,78.66,High,Critical - Reorder Now
P1030,2024-01-31,S7,48,92,9,76,Yes,Medium,No,828,182.3,1010.3,1654.3,1606.3,0.52,15.54,Low,Critical - Reorder Now
P1031,2024-02-01,S9,301,18,14,75,No,High,No,252,228.38,480.38,606.38,305.38,16.72,7.35,Low,Critical - Reorder Now
P1032,2024-02-02,S7,368,113,4,94,No,Low,No,452,111.77,563.77,1354.77,986.77,3.26,12.66,Low,Critical - Reorder Now
P1033,2024-02-03,S18,189,29,13,61,No,Low,No,377,233.76,610.76,813.76,624.76,6.52,17.25,Low,Critical - Reorder Now
P1034,2024-02-04,S4,135,38,8,70,Yes,Low,No,304,176.47,480.47,746.47,611.47,3.55,19.79,Low,Critical - Reorder Now
P1035,2024-02-05,S14,42,71,6,62,No,Medium,Yes,426,158.15,584.15,1081.15,1039.15,0.59,60.3,Medium,Critical - Reorder Now
P1036,2024-02-06,S18,403,28,11,88,Yes,High,Yes,308,190.74,498.74,694.74,291.74,14.39,31.27,Low,Critical - Reorder Now
P1037,2024-02-07,S9,379,110,3,77,Yes,Low,No,330,104.78,434.78,1204.78,825.78,3.45,18.03,Low,Critical - Reorder Now
P1038,2024-02-08,S2,352,77,4,79,Yes,High,No,308,119.9,427.9,966.9,614.9,4.57,6.06,Low,Critical - Reorder Now
P1039,2024-02-09,S20,89,30,2,73,No,Low,No,60,87.09,147.09,357.09,268.09,2.97,20.89,Low,Critical - Reorder Now
P1040,2024-02-10,S15,294,24,1,93,Yes,Medium,No,24,56.15,80.15,248.15,0.0,12.25,10.23,Low,Healthy
P1041,2024-02-11,S7,340,68,13,90,No,Low,No,884,205.4,1089.4,1565.4,1225.4,5.0,11.74,Low,Critical - Reorder Now
P1042,2024-02-12,S12,244,108,14,99,Yes,Medium,No,1512,204.02,1716.02,2472.02,2228.02,2.26,12.79,Low,Critical - Reorder Now
P1043,2024-02-13,S8,432,14,8,77,Yes,Medium,No,112,171.1,283.1,381.1,0.0,30.86,18.46,Low,Healthy
P1044,2024-02-14,S15,191,87,1,89,No,Low,No,87,57.24,144.24,753.24,562.24,2.2,45.93,Medium,Low Stock
P1045,2024-02-15,S3,317,71,14,84,Yes,High,No,994,219.24,1213.24,1710.24,1393.24,4.46,45.62,Medium,Critical - Reorder Now
P1046,2024-02-16,S14,105,28,13,78,No,Medium,No,364,217.14,581.14,777.14,672.14,3.75,44.96,Medium,Critical - Reorder Now
P1047,2024-02-17,S17,362,9,11,67,Yes,High,No,99,209.63,308.63,371.63,9.63,40.22,13.27,Low,Low Stock
P1048,2024-02-18,S4,309,71,1,87,Yes,Low,No,71,57.78,128.78,625.78,316.78,4.35,16.29,Low,Low Stock
P1049,2024-02-19,S18,381,62,4,67,Yes,Medium,No,248,126.41,374.41,808.41,427.41,6.15,7.2,Low,Low Stock
P1050,2024-02-20,S8,232,31,10,90,No,High,Yes,310,180.15,490.15,707.15,475.15,7.48,68.02,Medium,Critical - Reorder Now
P1051,2024-02-21,S4,264,84,12,62,Yes,Medium,Yes,1008,223.65,1231.65,1819.65,1555.65,3.14,40.98,Medium,Critical - Reorder Now
P1052,2024-02-22,S2,343,117,10,62,No,Low,No,1170,204.17,1374.17,2193.17,1850.17,2.93,15.3,Low,Critical - Reorder Now
P1053,2024-02-23,S6,36,19,6,81,No,Medium,No,114,145.52,259.52,392.52,356.52,1.89,16.02,Low,Critical - Reorder Now
P1054,2024-02-24,S10,304,39,9,76,No,Low,No,351,182.3,533.3,806.3,502.3,7.79,32.02,Low,Critical - Reorder Now
P1055,2024-02-25,S4,40,80,1,95,No,High,No,80,55.61,135.61,695.61,655.61,0.5,22.9,Low,Critical - Reorder Now
P1056,2024-02-26,S18,16,109,7,76,No,Medium,No,763,160.77,923.77,1686.77,1670.77,0.15,13.6,Low,Critical - Reorder Now
P1057,2024-02-27,S12,343,57,10,73,No,High,Yes,570,194.73,764.73,1163.73,820.73,6.02,65.84,Medium,Critical - Reorder Now
P1058,2024-02-28,S2,276,48,11,68,Yes,Low,Yes,528,208.73,736.73,1072.73,796.73,5.75,79.91,High,Critical - Reorder Now
P1059,2024-02-29,S10,306,30,5,89,Yes,Low,No,150,127.99,277.99,487.99,181.99,10.2,28.96,Low,Low Stock
P1060,2024-03-01,S4,58,51,12,80,Yes,High,Yes,612,206.74,818.74,1175.74,1117.74,1.14,69.87,Medium,Critical - Reorder Now
P1061,2024-03-02,S14,422,38,8,71,Yes,High,Yes,304,175.71,479.71,745.71,323.71,11.11,63.35,Medium,Critical - Reorder Now
P1062,2024-03-03,S16,182,91,14,96,Yes,Low,No,1274,207.06,1481.06,2118.06,1936.06,2.0,17.66,Low,Critical - Reorder Now
P1063,2024-03-04,S15,40,99,7,91,No,High,Yes,693,150.0,843.0,1536.0,1496.0,0.4,79.2,High,Critical - Reorder Now
P1064,2024-03-05,S8,38,54,4,70,No,Low,No,216,124.79,340.79,718.79,680.79,0.7,27.21,Low,Critical - Reorder Now
P1065,2024-03-06,S14,396,88,4,79,No,High,No,352,119.9,471.9,1087.9,691.9,4.5,5.88,Low,Critical - Reorder Now
P1066,2024-03-07,S8,191,16,6,94,Yes,Low,No,96,136.88,232.88,344.88,153.88,11.94,21.44,Low,Critical - Reorder Now
P1067,2024-03-08,S16,266,91,6,70,Yes,Low,No,546,152.83,698.83,1335.83,1069.83,2.92,39.08,Low,Critical - Reorder Now
P1068,2024-03-09,S13,493,8,9,67,No,Medium,No,72,189.62,261.62,317.62,0.0,61.62,19.91,Low,Overstock
P1069,2024-03-10,S18,146,91,12,63,No,Low,Yes,1092,222.71,1314.71,1951.71,1805.71,1.6,60.25,Medium,Critical - Reorder Now
P1070,2024-03-11,S15,394,52,5,86,No,Low,Yes,260,129.81,389.81,753.81,359.81,7.58,71.92,High,High Risk
P1071,2024-03-12,S13,332,59,8,99,No,Medium,No,472,154.22,626.22,1039.22,707.22,5.63,21.32,Low,Critical - Reorder Now
P1072,2024-03-13,S9,126,116,5,97,No,Medium,Yes,580,123.14,703.14,1515.14,1389.14,1.09,73.44,High,Critical - Reorder Now
P1073,2024-03-14,S15,45,5,2,89,No,High,Yes,10,80.95,90.95,125.95,80.95,9.0,36.73,Low,Critical - Reorder Now
P1074,2024-03-15,S13,44,93,6,86,Yes,High,No,558,142.2,700.2,1351.2,1307.2,0.47,27.98,Low,Critical - Reorder Now
P1075,2024-03-16,S1,0,70,9,80,No,Low,No,630,179.04,809.04,1299.04,1299.04,0.0,24.92,Low,Critical - Reorder Now
P1076,2024-03-17,S7,167,34,13,79,No,High,No,442,216.16,658.16,896.16,729.16,4.91,27.06,Low,Critical - Reorder Now
P1077,2024-03-18,S9,107,7,3,63,Yes,High,Yes,21,111.36,132.36,181.36,74.36,15.29,72.3,High,Critical - Reorder Now
P1078,2024-03-19,S1,18,25,1,70,No,Low,No,25,62.39,87.39,262.39,244.39,0.72,48.6,Medium,Critical - Reorder Now
P1079,2024-03-20,S12,331,93,1,72,No,Medium,No,93,61.85,154.85,805.85,474.85,3.56,10.21,Low,Low Stock
P1080,2024-03-21,S8,71,88,13,68,No,Medium,Yes,1144,226.92,1370.92,1986.92,1915.92,0.81,74.21,High,Critical - Reorder Now
P1081,2024-03-22,S11,455,53,3,63,Yes,Low,Yes,159,111.36,270.36,641.36,186.36,8.58,59.98,Medium,Low Stock
P1082,2024-03-23,S19,444,90,10,71,No,Low,No,900,196.45,1096.45,1726.45,1282.45,4.93,21.65,Low,Critical - Reorder Now
P1083,2024-03-24,S17,108,89,5,68,No,Low,No,445,140.73,585.73,1208.73,1100.73,1.21,28.68,Low,Critical - Reorder Now
P1084,2024-03-25,S8,267,66,3,72,No,Low,No,198,107.13,305.13,767.13,500.13,4.05,24.26,Low,Critical - Reorder Now
P1085,2024-03-26,S3,444,101,9,85,Yes,Low,Yes,909,174.97,1083.97,1790.97,1346.97,4.4,75.23,High,Critical - Reorder Now
P1086,2024-03-27,S3,239,42,8,97,No,Low,No,336,155.76,491.76,785.76,546.76,5.69,27.59,Low,Critical - Reorder Now
P1087,2024-03-28,S1,416,19,3,72,No,High,No,57,107.13,164.13,297.13,0.0,21.89,11.81,Low,Overstock
P1088,2024-03-29,S5,300,114,9,98,No,High,Yes,1026,164.39,1190.39,1988.39,1688.39,2.63,30.91,Low,Critical - Reorder Now
P1089,2024-03-30,S10,89,56,13,87,Yes,High,Yes,728,208.33,936.33,1328.33,1239.33,1.59,67.52,Medium,Critical - Reorder Now
P1090,2024-03-31,S7,102,83,6,78,No,Medium,No,498,147.52,645.52,1226.52,1124.52,1.23,4.13,Low,Critical - Reorder Now
P1091,2024-04-01,S9,475,50,13,83,No,Low,No,650,212.25,862.25,1212.25,737.25,9.5,18.15,Low,Critical - Reorder Now
P1092,2024-04-02,S7,249,29,7,78,Yes,Low,No,203,159.34,362.34,565.34,316.34,8.59,30.91,Low,Critical - Reorder Now
P1093,2024-04-03,S9,452,25,4,72,No,High,No,100,123.7,223.7,398.7,0.0,18.08,13.26,Low,Healthy
P1094,2024-04-04,S8,7,92,4,72,No,Medium,No,368,123.7,491.7,1135.7,1128.7,0.08,35.92,Low,Critical - Reorder Now
P1095,2024-04-05,S12,152,9,12,87,Yes,High,No,108,200.16,308.16,371.16,219.16,16.89,27.89,Low,Critical - Reorder Now
P1096,2024-04-06,S2,346,74,13,61,No,Low,No,962,233.76,1195.76,1713.76,1367.76,4.68,21.32,Low,Critical - Reorder Now
P1097,2024-04-07,S1,173,117,2,69,Yes,Low,No,234,88.62,322.62,1141.62,968.62,1.48,30.91,Low,Critical - Reorder Now
P1098,2024-04-08,S16,342,111,5,81,No,High,No,555,132.84,687.84,1464.84,1122.84,3.08,12.72,Low,Critical - Reorder Now
P1099,2024-04-09,S5,157,116,8,72,No,High,No,928,174.94,1102.94,1914.94,1757.94,1.35,34.01,Low,Critical - Reorder Now
P1100,2024-04-10,S3,492,112,7,68,No,Low,Yes,784,166.51,950.51,1734.51,1242.51,4.39,54.42,Medium,Critical - Reorder Now
P1101,2024-04-11,S12,430,51,7,92,No,High,No,357,149.29,506.29,863.29,433.29,8.43,25.5,Low,Critical - Reorder Now
P1102,2024-04-12,S8,214,91,6,73,Yes,Low,Yes,546,150.84,696.84,1333.84,1119.84,2.35,67.6,Medium,Critical - Reorder Now
P1103,2024-04-13,S3,176,72,3,79,No,High,No,216,103.84,319.84,823.84,647.84,2.44,8.81,Low,Critical - Reorder Now
